topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,159435,478305,6,0,22,5.9967,0,0.09734082,6.653086664,0.0001,0.0004,4,3,68,0.1863,52645,0.3302,220,0.6027,4.2087,195.3091
R,159435,1514632,19,3,39,19.0638,0.0001,0.199472153,4.143087824,0.0001,-0.0004,13,3,30,0.0822,83381,0.523,171,0.4685,16.8078,335.6424
R,159435,3108982,39,14,68,39.0427,0.0002,0.263188905,3.420205674,0.0002,-0.0002,29,3,22,0.0603,87242,0.5472,160,0.4384,40.6979,532.3052
R,159435,1036327,13,1,34,13.0003,0.0001,0.165848056,4.706239142,0.0001,0.0005,9,3,37,0.1014,78744,0.4939,176,0.4822,11.6075,272.3456
R,159435,2152372,27,8,51,27.0542,0.0002,0.23060722,3.746440241,0.0002,-0.001,19,3,25,0.0685,85536,0.5365,168,0.4603,25.7956,417.2831
R,159435,1833502,23,5,47,23.0714,0.0001,0.216400308,3.915328854,0.0001,0.0003,16,3,27,0.074,84785,0.5318,173,0.474,22.1055,388.9239
R,159435,2471242,31,10,59,31.0461,0.0002,0.242847817,3.614807119,0.0002,-0.0002,22,3,24,0.0658,86480,0.5424,169,0.463,30.8922,455.0331
R,159435,876892,11,0,27,11.0673,0.0001,0.151046483,5.015508838,0.0001,0.0011,7,3,40,0.1096,76451,0.4795,179,0.4904,9.6552,263.1656
R,159435,2949547,37,12,66,36.8869,0.0002,0.258524488,3.462409941,0.0002,-0.0009,27,3,22,0.0603,87242,0.5472,166,0.4548,38.749,511.2029
R,159435,2869830,36,14,67,36.0067,0.0002,0.25609686,3.484920154,0.0002,-0.0006,26,3,22,0.0603,87144,0.5466,166,0.4548,37.8402,512.9964
R,159435,2311807,29,9,55,29.0089,0.0002,0.236938731,3.676863477,0.0002,-0.0003,21,3,24,0.0658,86236,0.5409,168,0.4603,28.9837,435.9204
R,159435,1355197,17,2,39,17.0579,0.0001,0.189617176,4.291210705,0.0001,-0.0001,12,3,32,0.0877,82459,0.5172,175,0.4795,15.1422,324.4362
R,159435,2391525,30,9,59,29.9331,0.0002,0.239942544,3.644981847,0.0002,0.0005,21,3,24,0.0658,86242,0.5409,170,0.4658,29.0838,456.4281
R,159435,2790112,35,13,65,35.2399,0.0002,0.253600808,3.508466142,0.0002,0.0003,25,3,23,0.063,86877,0.5449,167,0.4575,38.6093,500.4576
