topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
SW,64457,1095769,34,29,39,0.6826,0.0005,0.272933317,5.939865439,0.6849,-0.0013,30,18,41,0.1123,30344,0.4708,173,0.474,29.6297,94.2859
SW,64457,837941,26,22,30,0.5205,0.0004,0.247090512,6.76965606,0.6782,-0.0007,23,14,51,0.1397,27881,0.4326,183,0.5014,19.5019,86.6356
SW,64457,386742,12,9,15,0.239,0.0002,0.172606435,11.30825254,0.6426,0.001,10,7,101,0.2767,17809,0.2763,232,0.6356,5.3787,63.5253
SW,64457,966855,30,25,35,0.5925,0.0005,0.260875915,6.299044694,0.6824,0.001,27,16,46,0.126,29447,0.4568,174,0.4767,26.0226,96.743
SW,64457,902398,28,24,32,0.5593,0.0004,0.254229591,6.517208028,0.6804,-0.001,24,15,47,0.1288,28741,0.4459,173,0.474,23.9145,92.6162
SW,64457,193371,6,3,9,0.1167,0.0001,0.105833151,24.37702361,0.5674,-0.0019,4,4,269,0.737,5731,0.0889,601,1.6466,1.7962,51.7834
SW,64457,580113,18,14,22,0.3609,0.0003,0.211666302,8.384398249,0.6651,-0.0006,15,11,70,0.1918,24059,0.3733,194,0.5315,11.1353,75.116
SW,64457,515656,16,12,20,0.3142,0.0002,0.200319852,9.073770241,0.6601,0.0002,13,9,75,0.2055,22360,0.3469,209,0.5726,8.8922,70.947
SW,64457,1160226,36,31,42,0.717,0.0006,0.278439586,5.789828539,0.6861,-0.0003,32,19,39,0.1068,30972,0.4805,176,0.4822,36.7677,106.7723
SW,64457,709027,22,18,26,0.4393,0.0003,0.23099761,7.418985721,0.6729,-0.0003,19,12,58,0.1589,26516,0.4114,187,0.5123,15.1455,81.5633
SW,64457,1224683,38,33,44,0.7595,0.0006,0.28364807,5.655166879,0.687,0.0004,34,20,38,0.1041,31340,0.4862,165,0.4521,40.8922,110.8937
SW,64457,1031312,32,27,37,0.642,0.0005,0.267093136,6.108303877,0.6837,-0.0012,29,17,43,0.1178,29594,0.4591,168,0.4603,29.7899,99.4952
SW,64457,322285,10,7,13,0.202,0.0002,0.155042764,13.32100323,0.6283,-0.0011,8,6,121,0.3315,14784,0.2294,259,0.7096,3.8328,60.3916
SW,64457,451199,14,10,17,0.2786,0.0002,0.187456307,9.997978536,0.6524,0.0001,11,9,84,0.2301,20962,0.3252,221,0.6055,6.8587,67.7291
SW,64457,1289140,40,35,45,0.7964,0.0006,0.288589332,5.533494984,0.6884,-0.0008,36,21,37,0.1014,31613,0.4905,172,0.4712,44.926,114.2193
SW,64457,257828,8,5,11,0.1577,0.0001,0.133546568,16.82141599,0.607,-0.0006,6,5,168,0.4603,10337,0.1604,317,0.8685,2.62,56.6546
SW,64457,644570,20,16,24,0.3993,0.0003,0.221816048,7.848636386,0.6694,0.0007,17,11,62,0.1699,25452,0.3949,190,0.5205,13.5099,78.4432
SW,64457,773484,24,20,29,0.4809,0.0004,0.239379719,7.065811289,0.6759,-0.0023,21,13,54,0.1479,27682,0.4295,184,0.5041,17.6179,85.4753
SW,68881,1170977,34,30,39,0.6861,0.0005,0.271199049,5.988850505,0.685,-0.0008,30,18,42,0.1151,32102,0.4661,172,0.4712,35.954,110.0393
