topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
SW,23640,330960,28,24,33,0.5591,0.0012,0.281422953,5.711864867,0.6807,-0.0003,25,15,43,0.1178,10514,0.4448,170,0.4658,12.6285,55.6751
SW,23640,236400,20,17,23,0.3943,0.0008,0.245542334,6.827073427,0.6692,-0.0001,18,11,53,0.1452,9408,0.398,165,0.4521,6.8513,48.5623
SW,23640,189120,16,13,19,0.3111,0.0007,0.221746823,7.852062853,0.6606,0.0041,13,9,68,0.1863,7870,0.3329,184,0.5041,4.4632,42.9746
SW,23640,401880,34,30,38,0.6668,0.0014,0.3021273,5.227504538,0.685,0.0017,30,18,36,0.0986,11219,0.4746,154,0.4219,17.2457,65.0353
SW,23640,70920,6,4,8,0.1163,0.0003,0.117153466,20.71626912,0.5667,-0.0047,4,4,247,0.6767,1811,0.0766,529,1.4493,0.9729,30.3367
SW,23640,165480,14,11,17,0.2845,0.0006,0.207507345,8.625034855,0.6521,-0.0036,12,8,75,0.2055,7615,0.3221,189,0.5178,4.1248,42.5348
SW,23640,141840,12,9,15,0.2348,0.0005,0.191069074,9.721019109,0.6436,0.0011,10,7,93,0.2548,6709,0.2838,216,0.5918,2.9331,40.0012
SW,23640,212760,18,15,22,0.3409,0.0008,0.234306933,7.275393603,0.6669,-0.0015,15,10,62,0.1699,8606,0.364,175,0.4795,5.7666,49.4375
SW,23640,354600,30,26,34,0.5895,0.0013,0.288780193,5.528908703,0.6822,-0.0018,27,16,41,0.1123,10939,0.4627,158,0.4329,14.4996,63.3925
SW,23640,307320,26,22,30,0.5188,0.0011,0.27352025,5.923479134,0.6781,-0.0011,23,14,45,0.1233,10282,0.4349,165,0.4521,11.7825,65.0171
SW,23640,425520,36,30,40,0.7056,0.0015,0.30822254,5.101522638,0.6868,0.0002,32,20,36,0.0986,11313,0.4786,154,0.4219,21.0745,71.2572
SW,23640,378240,32,28,36,0.6343,0.0014,0.295662431,5.368880545,0.6841,0.0017,29,17,39,0.1068,10941,0.4628,161,0.4411,15.9133,64.5245
SW,23640,472800,40,36,45,0.7966,0.0017,0.319457942,4.886164063,0.6883,-0.0004,37,21,34,0.0932,11551,0.4886,149,0.4082,24.1665,73.6017
SW,23640,449160,38,33,42,0.7568,0.0016,0.313988144,4.988406833,0.6878,-0.002,34,20,35,0.0959,11442,0.484,151,0.4137,21.8601,69.301
SW,23640,283680,24,21,28,0.4766,0.001,0.264984682,6.171619207,0.676,0.0022,21,13,48,0.1315,9991,0.4226,170,0.4658,9.766,54.5606
SW,23640,260040,22,18,26,0.4462,0.0009,0.25570599,6.46740087,0.6726,-0.0004,19,12,50,0.137,9504,0.402,173,0.474,8.1677,52.3985
SW,23640,118200,10,7,13,0.2046,0.0004,0.171626726,11.4058043,0.6282,-0.0002,8,6,107,0.2932,4821,0.2039,244,0.6685,2.1477,38.4441
SW,23640,94560,8,5,11,0.1622,0.0003,0.147831215,14.34198637,0.6062,0.0029,6,5,145,0.3973,4231,0.179,285,0.7808,1.8715,41.0511
